20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115258 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115301 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115302 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115302 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115302 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115302 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115303 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115303 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115303 - [SCROLL] at (1772, 1325) dx=0, dy=1
20250710_115304 - [SCROLL] at (1771, 1325) dx=0, dy=-1
20250710_115304 - [SCROLL] at (1766, 1327) dx=0, dy=-1
20250710_115304 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115304 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115304 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115304 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1328) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1330) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1330) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1330) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1330) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1766, 1330) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1764, 1332) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1764, 1332) dx=0, dy=-1
20250710_115305 - [SCROLL] at (1763, 1333) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1763, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115306 - [SCROLL] at (1761, 1334) dx=0, dy=-1
20250710_115315 - [SCROLL] at (1980, 1423) dx=0, dy=1
20250710_115315 - [SCROLL] at (1980, 1423) dx=0, dy=1
20250710_115315 - [SCROLL] at (1983, 1423) dx=0, dy=-1
20250710_115315 - [SCROLL] at (1983, 1423) dx=0, dy=-1
20250710_115315 - [SCROLL] at (1983, 1423) dx=0, dy=-1
20250710_115315 - [SCROLL] at (1983, 1423) dx=0, dy=-1
20250710_115315 - [SCROLL] at (1985, 1422) dx=0, dy=-1
20250710_115324 - [SPECIAL KEY] Key.esc pressed
20250710_115326 - [CLICK] at (1647, 1424) with Button.left
